,Unnamed: 0,text,text_clean,text_preprocessed
0,0,@fadlizon Pak bukannya DPR juga menganggarkan gas air mata tersebut kan buat polisi?,pak bukannya dpr menganggarkan gas air mata tersebut kan membuat polisi ,"['pak', 'bukan', 'dpr', 'anggar', 'gas', 'air', 'mata', 'sebut', 'kan', 'buat', 'polisi']"
1,1,@txtdrberseragam KNP JADI POLISI ANJG 😭,jadi polisi anjing 😭 ,"['jadi', 'polisi', 'anjing', '']"
2,2,"Jumlah anggota Polri yang diperiksa terkait Tragedi Kanjuruhan bertambah. Hingga kini, anggota Polri diperiksa berjumlah 31 anggota. https://t.co/H50QO4mLvy",jumlah anggota polri diperiksa terkait tragedi kanjuruhan bertambah hingga kini anggota polri diperiksa berjumlah anggota ,"['jumlah', 'anggota', 'polri', 'periksa', 'kait', 'tragedi', 'kanjuruhan', 'tambah', 'hingga', 'kini', 'anggota', 'polri', 'periksa', 'jumlah', 'anggota']"
3,3,"Gduwe doyo maneh gae menghakimi polisi yaallah. Gaonok kata atau kalimat sg mewakili mereka, sangking kejam+gak karua2an e. https://t.co/YsJdg58pGo",gduwe doyo kamu gae menghakimi polisi yaallah gaonok kata kalimat sg mewakili sangking kejamgak karuaan e ,"['gduwe', 'doyo', 'kamu', 'gae', 'hakim', 'polisi', 'yaallah', 'gaonok', 'kata', 'kalimat', 'sg', 'wakil', 'sangking', 'kejamgak', 'karuaan', 'e']"
4,4,Padahal orang tua nya di bunuh polisi https://t.co/eGyNKCb7FP,padahal orang tua nya bunuh polisi ,"['padahal', 'orang', 'tua', 'nya', 'bunuh', 'polisi']"
5,5,"di Dalam stadion, pada saat mereka menghadapi ultras. Ketika polisi melihat Massa dengan perspektif mereka, ketika sebuah empati berada pada titik nadir Yang paling rendah, disanalah malapetaka ini terjadi.",dalam stadion saat menghadapi ultras polisi melihat massa perspektif ketika sebuah empati berada titik nadir paling rendah disanalah malapetaka terjadi ,"['dalam', 'stadion', 'saat', 'hadap', 'ultras', 'polisi', 'lihat', 'massa', 'perspektif', 'ketika', 'buah', 'empati', 'ada', 'titik', 'nadir', 'paling', 'rendah', 'sana', 'malapetaka', 'jadi']"
6,6,"@republikaonline Utk para polisi di seluruh pelosok Indonesia.
Mulai skrg sebaiknya jaga sikap terhdp Institusi TNI, akibatnya bs fatal krn mrk di didik sgt terlatih dalam berperang.",para polisi seluruh pelosok indonesia mulai sekarang sebaiknya jaga sikap terhdp institusi tni akibatnya fatal mereka didik sangat terlatih berperang ,"['para', 'polisi', 'seluruh', 'pelosok', 'indonesia', 'mulai', 'sekarang', 'baik', 'jaga', 'sikap', 'terhdp', 'institusi', 'tni', 'akibat', 'fatal', 'mereka', 'didik', 'sangat', 'latih', 'perang']"
7,7,@DavidWijaya82 @KPK_RI @ListyoSigitP @DivHumas_Polri @PolhukamRI @kemendagri HATI-HATI NGOMONG POLISI TALIBAN.,hati-hati katakan polisi taliban ,"['hati', 'kata', 'polisi', 'talib']"
8,8,@anasir Nggak ada yang berani bilang polisi tersangkanya....,ada berani katakan polisi tersangkanya ,"['ada', 'berani', 'kata', 'polisi', 'sangka']"
9,9,"@hudacahjurang @okkymadasari Disisi lain, kalau supporternya tidak rusuh dan legowo, hal ini tidak akan pernah terjadi. Kalau anda jadi polisi, jika anda dilempari dan di geruduk massa sebanyak itu apa yang akan anda lakukan? Apalagi, anggota anda cuma terbatas? Apakah anda akan diam dimassa supporter?",disisi kalau supporternya rusuh legowo ini pernah terjadi kalau kamu jadi polisi kamu dilempari di geruduk massa sebanyak apa akan kamu lakukan anggota kamu cuma terbatas kamu akan diam dimassa supporter ,"['sisi', 'kalau', 'supporternya', 'rusuh', 'legowo', 'ini', 'pernah', 'jadi', 'kalau', 'kamu', 'jadi', 'polisi', 'kamu', 'lempari', 'di', 'geruduk', 'massa', 'banyak', 'apa', 'akan', 'kamu', 'laku', 'anggota', 'kamu', 'cuma', 'batas', 'kamu', 'akan', 'diam', 'massa', 'supporter']"
